40|16000|20|311258|3
40|17000|20|857392|5
50|18000|90|528777|1
60|19000|20|917336|3
60|20000|20|850348|3
60|21000|90|72598|4
100|36000|20|157884|2
100|37000|20|550902|1
10|1000|50|932557|1
10|2000|50|410520|1
10|3000|30|958760|1
10|4000|90|956834|4
10|5000|30|326424|5
20|6000|20|367005|2
20|7000|20|545876|1
30|8000|90|633702|4
30|9000|20|342511|1
30|10000|50|652160|2
40|11000|50|952357|1
40|12000|20|742225|4
40|13000|90|390458|1
40|14000|50|706790|1
40|15000|50|544640|4
60|22000|50|228779|1
60|23000|20|64383|4
60|24000|20|44886|5
70|25000|30|234096|1
70|26000|20|370434|4
70|27000|90|583594|1
80|28000|20|742002|3
80|29000|50|496203|4
80|30000|30|580230|1
80|31000|20|62002|1
80|32000|20|623753|1
80|33000|90|871601|3
90|34000|20|176449|1
90|35000|20|357471|2
10|123|40|1000|1
